ID,Crop type,Water treatment,Fertiliser treatment,Total fresh weight (g),Head fresh weight (g)
1A2,Cauliflower,W+,N-,1240.7,518.8
1A4,Cauliflower,W+,N-,1238.4,149.7
1A7,Cauliflower,W+,N-,1971.4,382.4
1A9,Cauliflower,W+,N-,1268.7,463.5
1A10,Cauliflower,W+,N-,2369.5,892.9
1A12,Cauliflower,W+,N-,2933.6,887.9
1A15,Cauliflower,W+,N-,4851.2,2024.4
1A17,Cauliflower,W+,N-,3096.2,819.9
1A18,Cauliflower,W+,N-,2383.6,660.8
1A19,Cauliflower,W+,N-,3446.8,879.5
1A21,Cauliflower,W+,N-,2984.7,889.2
1A22,Cauliflower,W+,N-,2967.6,1148.1
1A23,Cauliflower,W+,N-,2835.4,1044.2
1A29,Cauliflower,W+,N-,3164.2,870.5
1A30,Cauliflower,W+,N-,3485.4,1156.3
1A32,Cauliflower,W+,N-,3379.7,698.6
1A35,Cauliflower,W+,N+,3488.6,1217.8
1A38,Cauliflower,W+,N+,3436.6,1391.1
1A40,Cauliflower,W+,N+,4335.2,1077.6
1A43,Cauliflower,W+,N+,3765.7,1764.3
1A49,Cauliflower,W+,N+,3975.6,1765.5
1A50,Cauliflower,W+,N+,3684.0,1388.9
1A52,Cauliflower,W+,N+,2847.0,810.0
1A53,Cauliflower,W+,N+,3077.4,774.5
1A55,Cauliflower,W+,N+,3317.0,1347.9
1A58,Cauliflower,W+,N+,4100.8,1374.0
1A63,Cauliflower,W+,N+,2205.3,862.2
1A65,Cauliflower,W+,N+,3611.7,1325.9
1A67,Cauliflower,W+,N+,2835.2,958.7
1A69,Cauliflower,W-,N+,2438.1,985.3
1A70,Cauliflower,W-,N+,2763.2,1151.8
1A73,Cauliflower,W-,N+,2521.7,574.9
1A74,Cauliflower,W-,N+,2063.3,507.2
1A75,Cauliflower,W-,N+,2396.0,703.0
1A78,Cauliflower,W-,N+,1759.8,403.9
1A82,Cauliflower,W-,N+,2697.6,547.7
1A84,Cauliflower,W-,N+,3217.6,853.7
1A85,Cauliflower,W-,N+,2490.1,240.0
1A90,Cauliflower,W-,N+,2283.5,817.3
1A91,Cauliflower,W-,N+,1750.4,531.0
1A92,Cauliflower,W-,N+,1616.8,157.1
1A93,Cauliflower,W-,N+,1659.0,422.7
1A95,Cauliflower,W-,N+,2537.6,826.7
1A98,Cauliflower,W-,N+,2091.3,241.3
1A101,Cauliflower,W-,N+,3282.1,990.9
1A103,Cauliflower,W-,N+,3346.1,1192.1
1A106,Cauliflower,W-,N-,3836.4,1222.1
1A109,Cauliflower,W-,N-,2619.7,330.9
1A110,Cauliflower,W-,N-,2798.2,1073.1
1A111,Cauliflower,W-,N-,3117.1,767.1
1A114,Cauliflower,W-,N-,1219.5,340.8
1A115,Cauliflower,W-,N-,2957.8,526.6
1A117,Cauliflower,W-,N-,2482.0,665.9
1A118,Cauliflower,W-,N-,2455.8,588.1
1A119,Cauliflower,W-,N-,1587.2,441.8
1A120,Cauliflower,W-,N-,2318.6,477.7
1A121,Cauliflower,W-,N-,2350.5,957.0
1A123,Cauliflower,W-,N-,2387.0,558.1
1A125,Cauliflower,W-,N-,1871.7,149.2
1A126,Cauliflower,W-,N-,2315.7,725.9
1A128,Cauliflower,W-,N-,2543.2,633.7
1A129,Cauliflower,W-,N-,1996.2,454.6
1A130,Cauliflower,W-,N-,2172.2,598.2
1A131,Cauliflower,W-,N-,1594.9,224.4
1A132,Cauliflower,W-,N-,2420.8,378.3
1A133,Cauliflower,W-,N-,2403.3,768.7
1A134,Cauliflower,W-,N-,2937.2,501.1
1A139,Cauliflower,W-,N-,2330.8,569.6
1A142,Cauliflower,W-,N-,2508.2,1126.1
2A1,Broccoli,W+,N-,2730.0,1175.9
2A3,Broccoli,W+,N-,1881.1,905.4
2A4,Broccoli,W+,N-,2111.9,985.8
2A5,Broccoli,W+,N-,2542.1,1058.4
2A8,Broccoli,W+,N-,2122.9,932.5
2A9,Broccoli,W+,N-,1690.4,714.1
2A10,Broccoli,W+,N-,1582.1,738.4
2A11,Broccoli,W+,N-,1840.3,774.1
2A16,Broccoli,W+,N-,2639.5,1231.5
2A18,Broccoli,W+,N-,1920.8,912.4
2A19,Broccoli,W+,N-,1680.7,790.8
2A21,Broccoli,W+,N-,2176.6,895.6
2A23,Broccoli,W+,N-,2664.4,1053.8
