,Bed,Treatment,W5_10cm_Dielectric (e)_mean,W5_10cm_Temperature (C)_max,W5_10cm_Temperature (C)_mean,W5_10cm_Temperature (C)_std,W5_10cm_Volumetric Water Content (%)_sum,W5_30cm_Dielectric (e)_mean,W5_30cm_Temperature (C)_max,W5_30cm_Temperature (C)_mean,W5_30cm_Temperature (C)_std,W5_30cm_Volumetric Water Content (%)_sum,W6_10cm_Dielectric (e)_mean,W6_10cm_Temperature (C)_max,W6_10cm_Temperature (C)_mean,W6_10cm_Temperature (C)_std,W6_10cm_Volumetric Water Content (%)_sum,W6_30cm_Dielectric (e)_mean,W6_30cm_Temperature (C)_max,W6_30cm_Temperature (C)_mean,W6_30cm_Temperature (C)_std,W6_30cm_Volumetric Water Content (%)_sum
0,1,W+N+,12.5,24.2,19.3,2.0,27577.2,13.3,22.8,20.0,1.2,29218.6,11.7,26.3,20.1,2.8,24761.8,13.3,22.9,19.9,1.5,27962.0
1,1,W+N-,13.2,24.9,19.1,2.2,28871.4,12.3,23.6,20.6,1.3,27344.9,12.0,26.5,20.0,2.9,25323.7,12.6,23.7,20.5,1.7,26560.3
2,1,W-N+,10.1,26.2,19.9,2.6,22313.2,12.2,22.9,20.3,1.4,27130.4,9.5,27.7,20.7,3.4,19885.8,11.8,24.0,20.3,1.9,25054.5
3,1,W-N-,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6
4,2,W+N+,11.7,23.8,19.4,1.9,26033.9,14.9,23.4,20.1,1.3,32302.9,11.1,24.5,19.8,2.3,23424.9,14.6,22.8,19.9,1.5,30171.3
5,2,W+N-,10.7,24.5,19.2,2.2,23750.2,11.4,23.7,20.4,1.3,25238.6,10.3,25.4,19.7,2.6,21854.2,11.1,23.2,20.1,1.6,23522.0
6,2,W-N+,11.0,25.4,20.2,2.3,24411.1,13.2,23.2,20.7,1.4,29154.0,10.3,27.3,21.0,3.1,21753.7,13.1,24.4,20.7,1.9,27500.5
7,2,W-N-,10.4,25.6,20.0,2.5,22931.4,10.4,23.4,20.8,1.4,23156.8,9.4,27.1,20.8,3.2,19753.5,9.9,24.4,20.8,1.9,20902.1
8,3,W+N+,11.2,23.9,20.0,1.8,24962.2,14.5,23.7,20.9,1.3,31522.0,10.5,24.7,20.2,2.2,22175.5,13.7,23.4,20.6,1.5,28581.0
9,3,W+N-,10.7,25.9,20.6,2.4,23821.8,13.0,24.4,21.2,1.4,28636.1,10.7,28.0,21.5,3.1,22676.2,12.8,24.6,21.1,1.8,27028.6
10,3,W-N+,10.5,26.0,20.2,2.5,23173.5,12.3,23.4,20.8,1.4,27332.6,8.9,26.9,20.7,3.1,18457.7,11.1,23.9,20.6,1.8,23373.8
11,3,W-N-,9.6,25.8,20.6,2.4,21212.2,13.4,23.6,20.9,1.4,29432.6,8.7,28.2,21.5,3.3,18099.2,12.4,24.5,21.0,1.9,26222.5
12,4,W+N+,12.9,24.6,20.0,2.0,28470.4,11.8,23.5,20.7,1.3,26132.7,12.3,25.6,20.3,2.5,25904.6,11.6,23.2,20.3,1.5,24543.3
13,4,W+N-,12.4,23.6,19.6,1.9,27461.0,12.3,23.8,20.5,1.4,27308.8,11.4,24.1,19.9,2.2,24148.5,12.2,23.0,20.2,1.5,25711.6
14,4,W-N+,10.5,25.5,20.1,2.3,23230.4,12.2,23.4,20.8,1.4,26951.0,9.5,26.3,20.6,2.9,19850.4,11.8,23.8,20.5,1.8,25032.1
15,4,W-N-,9.5,27.1,20.1,2.9,20962.0,11.1,23.3,20.6,1.6,24584.9,8.9,27.6,21.0,3.5,18653.2,10.7,24.6,20.7,2.1,22627.5
