ID,Crop type,Water treatment,Fertiliser treatment,Total fresh weight (g),Head fresh weight (g),Bed,W5_10cm_Dielectric (e)_mean,W5_10cm_Temperature (C)_max,W5_10cm_Temperature (C)_mean,W5_10cm_Temperature (C)_std,W5_10cm_Volumetric Water Content (%)_sum,W5_30cm_Dielectric (e)_mean,W5_30cm_Temperature (C)_max,W5_30cm_Temperature (C)_mean,W5_30cm_Temperature (C)_std,W5_30cm_Volumetric Water Content (%)_sum,W6_10cm_Dielectric (e)_mean,W6_10cm_Temperature (C)_max,W6_10cm_Temperature (C)_mean,W6_10cm_Temperature (C)_std,W6_10cm_Volumetric Water Content (%)_sum,W6_30cm_Dielectric (e)_mean,W6_30cm_Temperature (C)_max,W6_30cm_Temperature (C)_mean,W6_30cm_Temperature (C)_std,W6_30cm_Volumetric Water Content (%)_sum,New_filename
1S1,1,0,0,3195.6,732.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S1_1.png
1S1,1,0,0,3195.6,732.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S1_2.png
1S1,1,0,0,3195.6,732.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S1_3.png
1S1,1,0,0,3195.6,732.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S1_4.png
1S1,1,0,0,3195.6,732.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S1_5.png
1S1,1,0,0,3195.6,732.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S1_6.png
1S1,1,0,0,3195.6,732.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S1_7.png
1S1,1,0,0,3195.6,732.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S1_8.png
1S1,1,0,0,3195.6,732.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S1_9.png
1S1,1,0,0,3195.6,732.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S1_10.png
1S1,1,0,0,3195.6,732.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S1_11.png
1S1,1,0,0,3195.6,732.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S1_12.png
1S1,1,0,0,3195.6,732.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S1_13.png
1S1,1,0,0,3195.6,732.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S1_14.png
1S1,1,0,0,3195.6,732.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S1_15.png
1S1,1,0,0,3195.6,732.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S1_16.png
1S1,1,0,0,3195.6,732.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S1_17.png
1S1,1,0,0,3195.6,732.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S1_18.png
1S1,1,0,0,3195.6,732.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S1_19.png
1S1,1,0,0,3195.6,732.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S1_20.png
1S2,1,0,0,2250.8,582.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S2_1.png
1S2,1,0,0,2250.8,582.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S2_2.png
1S2,1,0,0,2250.8,582.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S2_3.png
1S2,1,0,0,2250.8,582.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S2_4.png
1S2,1,0,0,2250.8,582.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S2_5.png
1S2,1,0,0,2250.8,582.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S2_6.png
1S2,1,0,0,2250.8,582.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S2_7.png
1S2,1,0,0,2250.8,582.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S2_8.png
1S2,1,0,0,2250.8,582.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S2_9.png
1S2,1,0,0,2250.8,582.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S2_10.png
1S2,1,0,0,2250.8,582.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S2_11.png
1S2,1,0,0,2250.8,582.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S2_12.png
1S2,1,0,0,2250.8,582.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S2_13.png
1S2,1,0,0,2250.8,582.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S2_14.png
1S2,1,0,0,2250.8,582.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S2_15.png
1S2,1,0,0,2250.8,582.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S2_16.png
1S2,1,0,0,2250.8,582.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S2_17.png
1S2,1,0,0,2250.8,582.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S2_18.png
1S2,1,0,0,2250.8,582.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S2_19.png
1S2,1,0,0,2250.8,582.9,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S2_20.png
1S3,1,0,0,3195.6,1106.2,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S3_1.png
1S3,1,0,0,3195.6,1106.2,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S3_2.png
1S3,1,0,0,3195.6,1106.2,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S3_3.png
1S3,1,0,0,3195.6,1106.2,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S3_4.png
1S3,1,0,0,3195.6,1106.2,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S3_5.png
1S3,1,0,0,3195.6,1106.2,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S3_6.png
1S3,1,0,0,3195.6,1106.2,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S3_7.png
1S3,1,0,0,3195.6,1106.2,1,10.3,26.1,20.0,2.7,22825.0,9.3,23.2,20.6,1.4,20578.8,8.7,28.3,21.1,3.6,18087.1,8.5,24.0,20.7,1.9,17623.6,1S3_8.png
